OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
163718;5;9;14;0;2021;9;18;1;2;5;3;1;1;0;0;0;0;0;393009,582508238032460;5690878,118206594139338;7,463328099000023;51,359081662000051;5210912302100990000;0
163721;5;5;66;76;2021;9;19;7;3;3;6;1;0;0;0;0;0;0;396714,330999966710806;5794866,081999666988850;7,485486452000032;52,294426273000056;5210911709500570000;0
163722;5;5;15;0;2021;4;15;7;3;0;3;1;0;0;0;0;0;0;404283,619999977760017;5748890,627999654039741;7,609348387000068;51,882563060000052;5210424702100170000;0
163724;5;9;13;0;2021;11;10;3;3;4;3;1;1;0;0;0;0;0;392293,089999957010150;5708271,501999618485570;7,447750092000035;51,515287269000055;5211109301101980000;0
163725;5;5;66;12;2021;3;8;3;3;5;3;1;1;0;0;0;0;0;402739,363999974913895;5776039,069999666884542;7,579212419000044;52,126311445000056;5210302709100040000;0
163726;5;9;13;0;2021;5;9;4;3;4;2;1;1;0;0;0;0;0;394248,836372459307313;5712625,699527870863676;7,474617166000030;51,554794420000064;5210512301203530000;0
163728;5;5;66;8;2021;9;12;3;2;5;2;1;1;0;0;0;0;0;399951,670999971218407;5781323,910999663174152;7,536947449000024;52,173312957000064;5210928709110270000;0
163731;5;5;66;16;2021;2;17;6;3;0;7;1;0;0;0;1;2;0;402312,982373599894345;5794555,297228643670678;7,567642918000047;52,292657061000057;5210219709500070000;0
163732;5;9;13;0;2021;11;13;3;3;1;5;1;1;0;0;0;0;0;392987,791877094656229;5708234,810621542856097;7,457769218000067;51,515089497000076;5211102301101980000;0
163735;5;5;15;0;2021;5;16;3;2;5;3;1;1;0;0;0;0;0;404052,275579672306776;5758911,500765465199947;7,603194455000050;51,972594917000038;5210518702100140000;0
163737;5;9;13;0;2021;6;13;2;3;4;6;1;1;0;0;0;0;0;392129,241999956779182;5707364,897999616339803;7,445667080000021;51,507107088000055;5210621301101680000;0
163744;5;5;66;8;2021;10;14;6;3;6;4;1;0;1;0;0;0;0;399678,145855296403170;5782117,737413326278329;7,532714191000025;52,180397997000057;5211001709000070000;0
163745;5;5;15;0;2021;3;11;2;3;5;2;1;1;0;0;0;0;0;403675,485017376951873;5758246,850428450852633;7,597897403000047;51,966555656000025;5210329702100070000;0
163746;5;9;13;0;2021;5;18;2;3;1;7;1;0;0;0;1;0;0;394265,549734779633582;5705215,946426603943110;7,477081783000074;51,488194907000036;5210531301102680000;0
163750;5;5;66;76;2021;9;11;4;3;1;6;1;1;0;0;0;0;0;392464,325711669400334;5792139,083859890699387;7,424062101000061;52,269102998000051;5210915709500070000;1
163751;5;9;13;0;2021;12;15;3;2;5;2;1;1;0;0;0;0;0;395288,397999964654446;5707270,131999624893069;7,491198944000075;51,506849524000074;5211207301101500000;0
163752;5;9;13;0;2021;10;19;6;3;5;3;1;1;0;0;0;2;0;401964,978999974206090;5705875,476999631151557;7,587757630000056;51,495510778000039;5211029301303050000;0
163754;5;9;78;24;2021;9;17;5;3;5;2;1;1;0;0;0;0;0;399119,711999970488250;5716470,537999633699656;7,543746864000070;51,590246664000063;5210930301301090000;0
163759;5;9;13;0;2021;6;15;4;3;5;3;1;1;0;0;0;0;0;397870,045109663158655;5713834,143909782171249;7,526480446000051;51,566323948000047;5210609301306580000;0
163760;5;9;13;0;2021;10;9;5;3;5;3;1;1;0;0;0;0;0;394473,786999961361289;5707822,680999621748924;7,479300180000052;51,511664596000060;5211028301101970000;0
163762;5;5;66;76;2021;10;17;6;3;0;2;1;1;0;0;0;0;0;395236,808982058428228;5794017,553522434085608;7,464093247000051;52,286520556000028;5211015709500660000;0
163763;5;9;13;0;2021;7;15;5;3;6;7;1;0;1;0;0;0;0;392444,929383272305131;5712485,959892243146896;7,448650049000037;51,553197342000033;5210708301202560000;1
163764;5;5;15;0;2021;7;10;6;2;0;7;1;0;0;0;0;0;0;401786,484558120369911;5755688,111488386988640;7,571141593000050;51,943226587000026;5210709702100670000;0
163769;5;9;13;0;2021;3;15;5;3;7;5;1;1;0;0;0;0;0;400255,353001800365746;5705454,849386136978865;7,563256776000060;51,491430725000043;5210311301303870000;0
163772;5;9;62;28;2021;5;23;2;2;0;1;1;0;0;0;0;2;0;402890,923229208216071;5664833,100900918245316;7,612268213000050;51,126725991000058;5210524307000580000;1
163777;5;3;74;52;2021;9;11;7;3;8;1;1;0;0;0;0;0;0;391059,234829233027995;5664252,190001100301743;7,443426910000028;51,119376056000078;5210904605152070000;0
163780;5;5;66;12;2021;11;5;5;3;5;3;1;1;0;0;0;2;0;400838,661961633712053;5775613,200317740440369;7,551580518000037;52,122146043000043;5211118709000070000;1
163786;5;9;13;0;2021;6;14;4;3;1;7;1;1;0;0;0;0;0;393488,318284940905869;5708824,040196662768722;7,464801790000024;51,520480363000047;5210630301202070000;0
163792;5;9;13;0;2021;3;14;2;3;2;6;1;1;0;0;0;0;0;397182,033672424964607;5705763,944288339465857;7,518913647000034;51,493658556000071;5210329301102080000;0
163793;5;5;66;8;2021;2;14;3;2;5;2;1;1;0;0;0;0;0;399636,841501539573073;5781452,024012705311179;7,532307285000059;52,174407229000053;5210223709100060000;0
163794;5;5;15;0;2021;1;11;4;3;9;6;1;1;0;0;0;0;0;403972,958185180090368;5761466,816814547404647;7,601324765000072;51,995549173000029;5210120702100470000;0
163796;5;9;13;0;2021;1;14;5;3;5;2;1;1;0;0;0;0;0;391782,788899474777281;5703006,609695490449667;7,442012930000033;51,467866733000051;5210128301502600000;1
163797;5;5;66;76;2021;1;6;5;3;5;3;1;1;0;0;0;2;0;395293,868402740918100;5793726,887380862608552;7,465019753000036;52,283919129000026;5210107709500670000;1
163799;5;5;66;76;2021;10;16;1;3;0;1;1;0;0;0;0;0;0;391406,906284589320421;5793707,959189524874091;7,408066843000029;52,282994782000060;5211024709500270000;0
163800;5;9;13;0;2021;6;17;7;3;0;1;1;0;0;0;0;0;0;395076,633414170704782;5709574,722826678305864;7,487462625000035;51,527525211000068;5210626301202080000;0
163801;5;3;82;16;2021;9;16;5;3;0;1;1;0;0;0;0;0;0;390747,564999953843653;5625722,887999581173062;7,450534876000063;50,772966502000031;5210923607300530000;0
163802;5;9;62;28;2021;4;17;2;3;4;6;1;1;0;0;0;0;0;401364,115572250448167;5666163,188737204298377;7,590092347000052;51,138422011000046;5210426307000870000;0
163804;5;5;66;8;2021;4;20;5;2;0;1;1;0;0;0;0;2;0;400704,713180830702186;5781372,349971948191524;7,547941507000075;52,173884343000054;5210408709110870000;0
163806;5;9;62;12;2021;5;19;5;3;0;6;1;0;0;0;0;0;0;395542,044186727143824;5671763,506281340494752;7,505274286000031;51,187731697000061;5210513307000090000;0
163812;5;5;15;0;2021;12;13;3;3;4;6;1;0;0;0;0;0;0;404448,796428759582341;5757560,622940439730883;7,609341078000057;51,960521058000040;5211214702100290000;0
