OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
107928;5;5;66;8;2019;5;16;7;3;5;3;0;1;1;0;0;0;0;400813,794150221160000;5779731,866800155500000;7,550015545000065;52,159159593000027;0
107931;5;5;58;16;2019;5;15;7;3;5;3;0;1;1;0;0;0;0;389998,060869120990000;5744035,543210115300000;7,403422361000025;51,836291807000066;0
107933;5;5;54;20;2019;5;22;7;2;0;3;2;1;0;0;0;0;0;365257,551999374290000;5786246,888607766500000;7,027925684000024;52,210167481000042;0
107934;5;1;24;0;2019;5;14;3;3;0;7;0;1;1;0;0;0;0;373243,961927697990000;5678449,350508676800000;7,183996534000073;51,243311792000043;0
107936;5;5;15;0;2019;5;13;7;3;3;6;0;1;0;0;0;0;0;404248,748985987160000;5754425,217753531400000;7,607303823000052;51,932304428000066;0
107938;5;5;15;0;2019;5;17;7;3;3;6;0;1;0;0;0;0;0;406314,768782553260000;5757374,924500554800000;7,636540824000065;51,959169461000045;0
107944;5;5;62;14;2019;5;10;7;3;5;3;0;1;1;0;0;0;0;362148,072898410260000;5712602,257855979700000;7,011861507000049;51,547653753000077;0
107951;5;3;34;32;2019;5;2;7;2;4;7;2;1;1;0;0;0;0;304227,915000000970000;5629752,990000002100000;6,222528705000059;50,786426907000077;1
107956;5;1;70;24;2019;5;8;5;3;1;3;0;1;1;0;0;0;0;332706,682788049800000;5698756,405642923000000;6,594175672000063;51,415306390000069;0
107960;5;3;62;28;2019;5;7;5;3;5;3;0;1;1;0;0;0;0;348590,479087153450000;5639432,976805143100000;6,847369980000053;50,886700187000031;0
107966;5;1;58;16;2019;5;12;5;3;5;2;0;1;1;0;0;0;0;355972,010461058470000;5670806,304432697600000;6,939774918000069;51,170529456000054;0
107975;5;3;15;0;2019;5;6;6;3;4;6;1;1;0;0;0;0;0;359330,429575253280000;5647724,481255704500000;6,996760444000074;50,963932039000042;1
107980;5;1;62;22;2019;5;14;5;3;8;6;0;1;0;0;0;0;0;335936,320073064420000;5683890,309822527700000;6,647431178000034;51,282687889000044;0
