OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
166433;5220110705000191736;5;5;54;12;2022;1;16;2;3;5;3;1;0;1;1;0;0;0;0;351759,198999790998641;5745594,627999300137162;6,848120124000050;51,841460918000102
166440;5220107601200924876;5;3;15;0;2022;1;10;6;3;0;1;0;1;1;0;0;0;0;0;355263,584242788027041;5642026,661314750090241;6,941148341000030;50,911719668000003
166445;5220104711313076703;5;5;70;8;2022;1;5;3;3;5;3;2;1;1;1;0;0;0;0;433237,551999996008817;5736129,150999659672379;8,032399007000040;51,772057443999998
166484;5220110513320190240;5;1;62;4;2022;1;5;2;3;0;2;2;2;1;0;0;0;0;0;346569,906253923021723;5663376,909694880247116;6,808550346000060;51,101326243000102
166499;5220109600120976535;5;3;82;24;2022;1;10;1;3;5;3;0;1;1;1;0;0;0;0;382756,486828544992022;5616538,372563280165195;7,340171952000050;50,688845399999998
166503;5220111505200491558;5;1;14;0;2022;1;12;3;3;0;1;0;0;1;0;0;0;0;0;327006,021184011013247;5693643,477380109950900;6,514768005000060;51,367664222000002
166512;5220108316300565398;5;9;74;28;2022;1;19;7;2;5;3;2;0;1;1;0;0;0;0;454997,315999999002088;5725035,800999649800360;8,349173807000060;51,674491911000104
166518;5220104606100281203;5;3;78;4;2022;1;17;3;3;5;3;2;1;1;1;0;0;0;0;370540,671999890008010;5647685,142999510280788;7,156324430000040;50,966206726999999
166525;5220106711112087219;5;5;70;52;2022;1;17;5;3;5;3;2;0;1;1;0;0;0;0;429857,417999994999263;5756060,281999669969082;7,979371338000020;51,950819949000000
166528;5220106501314573921;5;1;12;0;2022;1;8;5;3;0;5;0;1;1;1;0;0;0;0;346291,456922200974077;5700683,756937700323761;6,788537251000040;51,436469694000003
166541;5220105601400686384;5;3;15;0;2022;1;17;4;2;0;4;2;1;1;0;1;0;0;0;356448,159810289973393;5646815,116807489655912;6,956101144000060;50,955048777999998
166554;5220104700000463446;5;5;13;0;2022;1;9;3;3;5;5;0;1;1;1;0;0;0;0;367788,021394176990725;5707852,639663089998066;7,094935695000060;51,506319979000097
166555;5220110502322038561;5;1;13;0;2022;1;20;2;3;0;7;2;2;1;0;1;0;0;0;359020,930999835021794;5705158,418999410234392;6,969768105000070;51,479990467999997
166574;5220111500200371805;5;1;11;0;2022;1;14;3;3;0;7;0;0;1;1;0;0;0;0;346455,209243401011918;5678099,186612470075488;6,800627466000040;51,233584457000099
166579;5220106410110987106;5;7;70;24;2022;1;15;5;3;0;7;0;0;1;0;0;0;0;0;491784,979190007026773;5793477,370103539898992;8,879551495000040;52,291590446000001
166583;5220103500300779068;5;1;11;0;2022;1;6;2;3;5;3;2;0;1;0;0;0;0;1;344066,256999725999776;5673953,464999140240252;6,768238287000030;51,195685974000099
166592;5220110607200581292;5;3;82;20;2022;1;5;2;3;0;1;2;2;1;0;0;0;0;0;377125,697911726019811;5627157,119959279894829;7,256954500000060;50,783132636000097
166596;5220106502226081454;5;1;13;0;2022;1;9;5;3;0;7;0;2;1;0;0;0;0;0;360051,134999839006923;5697974,277999429963529;6,987435406000030;51,415687816999998
166613;5220107500300390132;5;1;11;0;2022;1;14;6;3;0;1;0;1;1;0;0;0;0;0;344945,331480781023856;5674817,276076430454850;6,780436533000060;51,203686908000101
166619;5220104702100297729;5;5;15;0;2022;1;10;3;3;5;3;0;0;1;1;0;0;0;0;405964,394033099000808;5757126,971242499537766;7,631511045000020;51,956881598999999
166620;5220110516900071737;5;1;58;26;2022;1;9;2;3;0;7;0;2;1;0;0;0;0;0;351959,811999785015360;5662372,782999309711158;6,885889193000030;51,093720033000103
166625;5220111700000591624;5;5;13;0;2022;1;18;3;3;6;4;2;0;1;0;1;0;0;0;367760,501179872022476;5707856,121746880002320;7,094538082000040;51,506344832000103
166634;5220103600140690875;5;3;14;0;2022;1;12;2;3;5;3;0;1;1;1;0;0;0;0;368329,248065872990992;5620904,187620660290122;7,134476062000030;50,724999787999998
166655;5220105607300750198;5;3;82;16;2022;1;17;4;3;5;3;2;1;1;1;0;0;0;0;391579,335999956005253;5625612,088999579660594;7,462359522000040;50,772126546000003
166668;5220104601700887485;5;3;16;0;2022;1;8;3;2;5;3;1;1;1;1;0;0;0;0;359770,638999836985022;5658670,091999419964850;6,998794498000050;51,062407570000097
166669;5220110516300457801;5;1;58;28;2022;1;11;2;2;0;1;0;2;1;0;0;0;0;0;348294,455183645011857;5684423,825231379829347;6,824269682000020;51,290907138000101
166678;5220106608100189885;5;3;34;2;2022;1;16;5;3;0;5;0;0;1;1;0;0;0;0;293559,392193373991176;5629662,521861080080271;6,071427899000070;50,781914557999997
166686;5220104705000885882;5;5;54;8;2022;1;9;3;3;5;3;0;0;1;1;0;0;0;0;334120,274999646004289;5745269,585998759604990;6,592458414000020;51,833580492000102
166687;5220110506100091288;5;1;16;0;2022;1;10;2;3;0;1;0;2;1;0;0;0;0;0;322697,724999496014789;5674678,837998249568045;6,462350664000040;51,195972431000001
166693;5220106705000455357;5;5;54;24;2022;1;7;5;3;0;1;2;2;1;0;0;0;0;0;369537,956965946999844;5775794,916383000090718;7,094551868000050;52,117278941999999
166709;5220106513120776537;5;1;62;20;2022;1;9;5;2;0;1;0;2;1;0;0;0;0;0;330081,205620036984328;5670975,385325030423701;6,569674102000020;51,164943438000101
166713;5220101701920689586;5;5;62;28;2022;1;20;7;3;1;5;2;0;1;1;0;0;0;0;379795,685815843986347;5722499,219049329869449;7,262854671000070;51,640637779000002
166714;5220108607400086242;5;3;82;44;2022;1;8;7;3;5;3;1;1;1;1;0;0;0;0;361998,019999846990686;5630877,225999440066516;7,041088004000070;50,813164282000102
166723;5220110600140676535;5;3;14;0;2022;1;7;2;2;4;6;2;0;1;1;0;0;0;0;367089,722999875026289;5622416,672999479807913;7,116379136000030;50,738311859000099
166741;5220106702100568953;5;5;15;0;2022;1;9;5;3;0;1;0;0;1;0;0;0;0;0;410664,086999984981958;5753469,314999659545720;7,700835835000020;51,924778809000003
166753;5220111600130729351;5;3;82;8;2022;1;10;3;3;0;1;0;2;1;0;0;0;0;0;380917,700999927008525;5612441,755999550223351;7,315470695000040;50,651646935000002
166763;5220102601600286481;5;3;15;0;2022;1;17;1;3;5;2;2;0;1;1;0;0;0;0;366164,948999869986437;5638022,860999479889870;7,097590429000040;50,878365553000002
166779;5220106501214391547;5;1;12;0;2022;1;9;5;3;0;7;0;1;1;0;0;0;0;0;340715,280929656000808;5695231,588948779739439;6,710827288000080;51,385943502000003
166780;5220110601400193611;5;3;15;0;2022;1;16;2;2;3;6;0;0;1;0;0;1;0;0;350552,357816266012378;5658928,405909050256014;6,867228775000060;51,062403333000098
166786;5220108601300075551;5;3;15;0;2022;1;9;7;3;0;1;0;2;1;0;0;0;0;0;348944,538094653980806;5646231,155031859874725;6,849584930000050;50,947883320000102
166795;5220110502231281106;5;1;13;0;2022;1;7;2;3;0;7;2;2;1;0;0;0;0;0;365227,106977440998890;5695805,779597099870443;7,062646919000030;51,397454187999998
166808;5220105501125977496;5;1;12;0;2022;1;19;4;3;6;7;2;1;1;0;1;0;0;0;345385,437623400997836;5704150,170312779955566;6,773997641000050;51,467368938000000
166809;5220110300200569013;5;9;11;0;2022;1;15;2;3;0;1;0;0;1;0;0;0;0;0;371269,488761477987282;5706750,203324040398002;7,145474397000040;51,497216170999998
166819;5220106505100589086;5;1;14;0;2022;1;7;5;3;0;1;2;2;1;0;0;0;0;0;333862,058886824001092;5688305,702208739705384;6,615659433000080;51,321755719000102
166824;5220108607000037093;5;3;82;44;2022;1;10;7;3;0;1;0;2;1;0;0;0;0;0;363852,262999858008698;5627350,635999450460076;7,068699830000070;50,781907193999999
166832;5220110601400481842;5;3;15;0;2022;1;9;2;3;0;1;0;1;1;0;0;0;0;0;355727,598507034010254;5647319,814886970445514;6,945648727000050;50,959404454999998
166843;5220105410210640096;5;7;70;20;2022;1;17;4;3;0;7;2;1;1;0;0;0;0;0;473745,971018648997415;5796346,338531020097435;8,614844353000020;52,316817441000097
166865;5220110514210089367;5;1;66;12;2022;1;14;2;3;4;2;0;1;1;1;0;0;0;0;320105,622999466024339;5694136,110998040065169;6,415493822000030;51,369945879000099
