OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
42925;5230703701120569388;5;5;62;32;2023;7;22;2;3;1;5;2;0;1;1;0;0;0;0;374241,255300000309944;5715173,492200000211596;7,185254289000056;51,573586601000045;1
42929;5230703608100280781;5;3;34;2;2023;7;14;2;2;0;1;0;0;1;0;0;0;0;0;295198,824300000444055;5628313,742399999871850;6,095403941000029;50,770382057000063;1
42930;5230703607400086243;5;3;82;68;2023;7;8;2;3;3;6;0;0;1;1;0;0;0;0;366725,640300000086427;5633048,933100000023842;7,107366686000034;50,833790435000026;1
42932;5230703605136185300;5;3;74;36;2023;7;12;2;2;3;3;0;0;1;1;0;0;0;0;382409,305800000205636;5672146,243499999865890;7,317310022000072;51,188620842000034;1
42933;5230703602700090438;5;3;62;28;2023;7;9;2;3;0;1;0;0;1;0;0;0;0;0;351653,498999999836087;5638696,731000000610948;6,891184742000064;50,880878515000063;1
42937;5230703601600690336;5;3;15;0;2023;7;13;2;3;5;2;0;0;1;0;0;0;0;1;365155,317900000140071;5636457,853399999439716;7,083824490000040;50,864065075000042;1
42938;5230703600350786241;5;3;82;32;2023;7;12;2;3;9;3;0;0;1;1;0;0;0;0;359836,453200000338256;5612023,467800000682473;7,017591191000065;50,643196816000057;1
42939;5230703600320586430;5;3;82;72;2023;7;15;2;1;4;1;0;0;1;1;0;0;0;0;366748,705000000074506;5611010,895999999716878;7,115661166000052;50,635717374000080;1
42940;5230703518200987027;5;1;70;24;2023;7;16;2;3;5;3;0;0;1;1;0;0;0;0;334213,053999999538064;5699895,201999999582767;6,615285687000039;51,425979859000051;1
42942;5230703514215987010;5;1;66;28;2023;7;7;2;3;3;2;0;0;1;0;0;0;1;0;326135,429999999701977;5688282,221000000834465;6,504891986000075;51,319235934000062;1
42954;5230703500200878077;5;1;11;0;2023;7;15;2;3;0;4;0;0;1;0;1;0;0;0;345505,690000000409782;5677994,587999999523163;6,787082524000027;51,232388320000041;1
42955;5230703500100057530;5;1;11;0;2023;7;10;2;3;5;3;0;0;1;1;0;0;0;0;343599,292999999597669;5677951,502000000327826;6,759817078000026;51,231481902000041;1
42956;5230703500100000910;5;1;11;0;2023;7;18;2;3;5;6;0;0;1;0;0;0;0;1;347175,446800000034273;5675256,497300000861287;6,812147798000069;51,208234548000064;1
42957;5230703410240987030;5;7;70;40;2023;7;16;2;2;0;1;0;0;1;0;0;0;0;0;477305,892599999904633;5807399,541999999433756;8,666320733000020;52,416347164000058;1
42960;5230703400100987022;5;7;11;0;2023;7;15;2;3;5;3;0;0;1;1;0;0;0;0;469252,639999999664724;5767142,339999999850988;8,551576598000054;52,054028597000070;1
42965;5230703303100987011;5;9;15;0;2023;7;8;2;3;5;2;0;0;1;1;0;0;0;0;420724,598199999891222;5724459,371500000357628;7,853738367000062;51,665518649000035;1
42969;5230703301306494293;5;9;13;0;2023;7;18;2;3;0;7;0;0;1;0;0;0;0;0;399824,712799999862909;5713927,361999999731779;7,554645847000074;51,567512508000050;1
42972;5230703301301910636;5;9;78;24;2023;7;8;2;3;5;3;0;0;1;0;0;0;0;0;398631,176400000229478;5716541,904300000518560;7,536676484000054;51,590800464000040;1
42974;5230703300200793798;5;9;11;0;2023;7;14;2;2;5;3;0;0;1;0;0;0;0;0;370112,273500000126660;5705437,013199999928474;7,129296001000057;51,485149899000078;1
42975;5230703300100385074;5;9;11;0;2023;7;12;2;3;0;5;0;0;1;1;0;0;0;0;374415,161000000312924;5708245,472400000318885;7,190234746000044;51,511362100000042;1
42976;5230702709000112263;5;5;66;28;2023;7;17;1;3;5;3;0;0;1;1;0;0;0;0;410815,904199999757111;5788363,470499999821186;7,693918575000055;52,238449671000069;1
42979;5230702705000189750;5;5;54;4;2023;7;5;1;2;0;6;0;1;1;0;0;0;0;0;361977,182000000029802;5770164,463999999687076;6,986475255000073;52,064852307000081;1
42981;5230702701910987000;5;5;62;8;2023;7;17;1;3;5;2;0;0;1;1;0;0;0;0;383650,539599999785423;5720002,031300000846386;7,319367033000049;51,619004631000053;1
42983;5230702701500585437;5;5;62;24;2023;7;18;1;3;0;7;0;0;1;0;0;0;0;0;373359,049800000153482;5725642,449400000274181;7,168746396000074;51,667473163000068;1
42984;5230702700000392100;5;5;13;0;2023;7;16;1;3;5;3;0;0;1;1;0;0;0;0;365428,868800000287592;5714325,482599999755621;7,058489032000068;51,563931418000038;1
42993;5230711503200081450;5;1;24;0;2023;7;15;3;3;0;5;0;0;1;1;0;0;0;1;375337,446700000204146;5681859,740499999374151;7,212785097000051;51,274424802000055;1
42995;5230702608100380802;5;3;34;2;2023;7;1;1;3;0;1;2;1;1;0;0;0;0;0;295099,130300000309944;5626970,307399999350309;6,094739896000021;50,758281076000060;1
42997;5230702607300595346;5;3;82;76;2023;7;13;1;3;2;6;0;0;1;0;0;0;0;0;395388,182000000029802;5627600,055900000035763;7,515791792000073;50,790697496000064;1
42998;5230702607300595301;5;3;82;76;2023;7;17;1;2;8;1;0;0;1;0;0;0;0;0;398525,489799999631941;5629080,119799999520183;7,559878995000076;50,804560970000068;1
43000;5230708518100495950;5;1;70;48;2023;7;14;7;3;0;3;0;0;1;1;0;0;0;0;334986,939000000245869;5727015,497999999672174;6,613687692000042;51,669851457000050;1
43005;5230702601200593348;5;3;15;0;2023;7;20;1;2;0;1;1;0;1;0;0;0;0;0;354125,491000000387430;5644822,641100000590086;6,923851957000068;50,936559825000074;1
43006;5230702600140090956;5;3;14;0;2023;7;15;1;3;0;1;0;0;1;0;0;0;0;0;371777,387500000186265;5622572,311499999836087;7,182722833000071;50,740764750000039;1
43014;5230702505200096000;5;1;14;0;2023;7;16;1;3;3;6;0;0;1;1;0;0;0;0;329361,866999999620020;5689129,652100000530481;6,550742623000076;51,327825903000075;1
43016;5230702503200893675;5;1;24;0;2023;7;12;1;3;4;6;0;0;1;0;0;0;0;0;376421,399699999950826;5683217,483300000429153;7,227847450000070;51,286863997000069;1
43017;5230702502408085451;5;1;17;0;2023;7;11;1;3;5;3;0;0;1;1;0;0;0;0;352071,398500000126660;5698863,089999999850988;6,872392890000071;51,421648555000047;1
43019;5230702502318281344;5;1;13;0;2023;7;21;1;3;0;5;1;0;1;0;0;0;0;1;355651,067400000058115;5704150,288499999791384;6,921684701000061;51,470081670000070;1
43028;5230702405116487064;5;7;54;16;2023;7;19;1;3;5;3;0;0;1;1;0;0;0;0;448860,162899999879301;5755692,275599999353290;8,255900809000025;51,949583496000059;1
43033;5230702400200987005;5;7;11;0;2023;7;19;1;2;5;3;0;0;1;1;0;0;0;0;467488,458999999798834;5763329,478199999779463;8,526211009000065;52,019648002000054;1
43037;5230708702100045124;5;5;15;0;2023;7;9;7;3;4;2;0;0;1;1;0;0;0;0;407216,522599999792874;5751345,321299999952316;7,651286715000026;51,905123180000032;1
43039;5230702315260735642;5;9;70;32;2023;7;14;1;3;6;1;0;0;1;0;1;0;0;0;433181,052000000141561;5640869,058000000193715;8,049465383000040;50,915595096000061;1
43044;5230702313130979576;5;9;58;44;2023;7;13;1;2;8;1;0;0;1;0;0;0;0;0;425173,483300000429153;5684130,833300000056624;7,926600293000035;51,303568767000058;1
43050;5230702307000099374;5;9;62;32;2023;7;15;1;3;0;1;0;0;1;0;0;0;0;0;408955,264899999834597;5676657,171599999070168;7,695909414000027;51,234019246000059;1
43051;5230702302130675682;5;9;14;0;2023;7;11;1;3;0;1;0;0;1;0;0;0;0;0;397576,074000000022352;5695996,574999999254942;7,527415426000061;51,405932891000077;1
43053;5230702301101548244;5;9;13;0;2023;7;18;1;2;0;6;0;0;1;1;0;0;0;0;394280,858199999667704;5708148,373400000855327;7,476423332000024;51,514556023000068;1
43054;5230702301101071243;5;9;13;0;2023;7;21;1;3;5;3;0;0;1;1;0;0;0;0;392578,173000000417233;5706631,293999999761581;7,452356716000054;51,500598655000033;1
