OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
205604;5200419410110840135;5;7;70;24;2020;4;14;1;3;3;6;0;1;0;0;0;0;1;496950,474700000140000;5793055,821900000800000;8,955291678000037;52,287853467000048;0
205607;5200418505200958200;5;1;14;0;2020;4;12;7;3;1;5;0;1;1;0;0;0;0;328603,405199999920000;5691910,101600000600000;6,538528463000034;51,352576502000034;0
205609;5200417603116837202;5;3;66;16;2020;4;18;6;2;0;3;0;1;1;0;0;0;0;344873,887500000190000;5612840,643400000400000;6,805782807000071;50,646749428000078;0
205610;5200415500100806201;5;1;11;0;2020;4;11;4;2;3;6;0;1;0;1;0;0;1;340979,522699999620000;5679227,288000000600000;6,721758341000054;51,242220914000029;0
205611;5200417405140006407;5;7;54;40;2020;4;15;6;2;0;1;0;1;0;0;0;0;0;459730,512000000100000;5762095,366200000000000;8,413305789000049;52,008043895000071;0
205612;5200415711221976765;5;5;70;16;2020;4;12;4;3;1;7;0;1;1;0;0;0;0;412660,830699999820000;5739720,109400000400000;7,733342024000024;51,801504549000072;0
205613;5200418705000738824;5;5;54;12;2020;4;16;7;3;5;3;0;1;1;0;0;0;0;353920,328999999910000;5746391,785900000500000;6,879131232000020;51,849192930000072;1
205616;5200418404102321438;5;7;66;56;2020;4;13;7;2;5;3;0;1;1;0;0;0;0;476975,214999999850000;5756574,432000000000000;8,664911530000040;51,959389431000034;0
205617;5200416500300164201;5;1;11;0;2020;4;13;5;3;3;6;0;1;1;0;0;0;0;350408,521999999880000;5670288,192700000500000;6,860466789000043;51,164445637000028;0
205618;5200417600360088205;5;3;82;12;2020;4;16;6;3;1;5;0;1;1;0;0;0;0;355553,680499999780000;5625325,397099999700000;6,951855039000066;50,761698354000032;0
